"comment_id","post_id","company_name","like_num","word_count","comment_count","unix_time","happy","angry","excited","sad","fear","bored"
"10154685676866078_10154690271706078","7003656077_10154685676866078","AmericanAirlines",816,3,0,1503076395,0.484676895,0.064495692,0.264274588,0.040330568,0.135483099,0.010739158
"10154685676866078_10154691166411078","7003656077_10154685676866078","AmericanAirlines",816,24,0,1503104330,0.567585663,0.039099103,0.298370268,0.012466134,0.082478832,0
"10154685676866078_10154691750486078","7003656077_10154685676866078","AmericanAirlines",816,141,0,1503122008,0.013457957,0.338319445,0.007875021,0.529000296,0.107712606,0.003634675
"10154685676866078_10154692081676078","7003656077_10154685676866078","AmericanAirlines",816,6,0,1503134812,0.023942734,0.522043064,0.048464068,0.180527185,0.178870447,0.046152502
"10154685676866078_10154693329601078","7003656077_10154685676866078","AmericanAirlines",816,2,0,1503178131,0.016999613,0.441294094,0.02614769,0.229989825,0.154520292,0.131048485
"10154685676866078_10154693330461078","7003656077_10154685676866078","AmericanAirlines",816,4,0,1503178146,0.069836412,0.211672854,0.109908985,0.185581797,0.383608963,0.039390989
"10154685676866078_10154693331081078","7003656077_10154685676866078","AmericanAirlines",816,5,0,1503178158,0.075085569,0.507207753,0.021400756,0.201692576,0.098225853,0.096387493
"10154685676866078_10154693448896078","7003656077_10154685676866078","AmericanAirlines",816,19,0,1503182054,0.046899188,0.769277639,0.02987827,0.069807287,0.049981315,0.0341563
"10154685676866078_10154696412581078","7003656077_10154685676866078","AmericanAirlines",816,4,0,1503282946,0.342901245,0.061062556,0.119694794,0.139974481,0.242331053,0.09403587
"10154685676866078_10154696856216078","7003656077_10154685676866078","AmericanAirlines",816,20,0,1503293907,0.146430918,0.174606738,0.116863695,0.196566307,0.301707234,0.063825109
"10154685676866078_10154698427271078","7003656077_10154685676866078","AmericanAirlines",816,18,0,1503351151,0.017143881,0.785557957,0.020312131,0.082480324,0.071675055,0.022830651
"10154685676866078_10154699490696078","7003656077_10154685676866078","AmericanAirlines",816,18,0,1503381118,0.059208888,0.476952802,0.061591853,0.226233763,0.148251349,0.027761345
"10154685676866078_10154701226551078","7003656077_10154685676866078","AmericanAirlines",816,34,0,1503445623,0.056966375,0.258950226,0.062162704,0.374264835,0.199084971,0.048570888
"10154685676866078_10154701704636078","7003656077_10154685676866078","AmericanAirlines",816,141,0,1503461799,0.085241017,0.400677161,0.094097307,0.214677969,0.149202389,0.056104158
"10154685676866078_10154711279691078","7003656077_10154685676866078","AmericanAirlines",816,9,0,1503800570,0.243659003,0.017242214,0.525266496,0.041947774,0.15090339,0.020981122
"10154685676866078_10154711870246078","7003656077_10154685676866078","AmericanAirlines",816,23,0,1503819191,0.117277082,0.364517448,0.094334399,0.205090984,0.16439989,0.054380198
"10154685676866078_10154712909226078","7003656077_10154685676866078","AmericanAirlines",816,196,0,1503863682,0.113062878,0.281192093,0.205474702,0.177666106,0.15396143,0.068642791
"10154685676866078_10154715984221078","7003656077_10154685676866078","AmericanAirlines",816,5,0,1503971270,0.191274336,0.215471964,0.183993713,0.137620676,0.152569938,0.119069374
"10154685676866078_10154718907486078","7003656077_10154685676866078","AmericanAirlines",816,15,0,1504067935,0.100048512,0.239236746,0.084536744,0.342027386,0.187304079,0.046846533
"10154688034006078_10154688040066078","7003656077_10154688034006078","AmericanAirlines",3262,7,3,1502998423,0.033604984,0.48211991,0.05076794,0.230461228,0.150440165,0.052605773
"10154688034006078_10154688059801078","7003656077_10154688034006078","AmericanAirlines",3262,2,0,1502999201,0.147311844,0.210418335,0.31975457,0.094092691,0.116217637,0.112204923
"10154688034006078_10154688061496078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1502999276,0.197685605,0.043202955,0.504277884,0.06512347,0.165439357,0.024270729
"10154688034006078_10154688067061078","7003656077_10154688034006078","AmericanAirlines",3262,42,17,1502999445,0.009110277,0.39237328,0.007221954,0.447351658,0.116739783,0.02720305
"10154688034006078_10154688092771078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503000378,0.684656987,0.032973838,0.17353232,0.03731144,0.062238076,0.009287339
"10154688034006078_10154688134921078","7003656077_10154688034006078","AmericanAirlines",3262,123,31,1503001852,0.006892669,0.636768082,0.009509384,0.193516914,0.091424627,0.061888323
"10154688034006078_10154688146456078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503002329,0.024815222,0.096383591,0.025053864,0.502042216,0.240292022,0.111413084
"10154688034006078_10154688151131078","7003656077_10154688034006078","AmericanAirlines",3262,6,0,1503002499,0.232721484,0.063175878,0.269538958,0.071931537,0.223804219,0.138827924
"10154688034006078_10154688176776078","7003656077_10154688034006078","AmericanAirlines",3262,2,0,1503003238,0.421766573,0.057394508,0.377795419,0.030947661,0.097023616,0.015072223
"10154688034006078_10154688177801078","7003656077_10154688034006078","AmericanAirlines",3262,1,0,1503003278,0.546333296,0.030767515,0.228411782,0.082515668,0.089700206,0.022271533
"10154688034006078_10154688207636078","7003656077_10154688034006078","AmericanAirlines",3262,26,4,1503003939,0.0308724,0.295067087,0.068566257,0.242349076,0.271311343,0.091833837
"10154688034006078_10154688238911078","7003656077_10154688034006078","AmericanAirlines",3262,2,0,1503005108,0.494564404,0.052446385,0.259017958,0.020692024,0.145370008,0.027909221
"10154688034006078_10154688240531078","7003656077_10154688034006078","AmericanAirlines",3262,1,0,1503005181,0.315639422,0.131952214,0.279396839,0.104815164,0.111624941,0.056571419
"10154688034006078_10154688246181078","7003656077_10154688034006078","AmericanAirlines",3262,62,4,1503005372,0.011574835,0.432017859,0.017677403,0.324094155,0.179041676,0.035594072
"10154688034006078_10154688270661078","7003656077_10154688034006078","AmericanAirlines",3262,1,0,1503006172,0.21817029,0.157775952,0.137415813,0.139501343,0.13377731,0.213359291
"10154688034006078_10154688275951078","7003656077_10154688034006078","AmericanAirlines",3262,18,1,1503006316,0.474060598,0.080533599,0.259230017,0.028120793,0.11291551,0.045139482
"10154688034006078_10154688365541078","7003656077_10154688034006078","AmericanAirlines",3262,51,0,1503009022,0.022261493,0.41643587,0.03406935,0.316483248,0.17168054,0.039069499
"10154688034006078_10154688450726078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503011554,0.296184579,0.067024295,0.331980902,0.048039636,0.256770588,0
"10154688034006078_10154688474971078","7003656077_10154688034006078","AmericanAirlines",3262,16,1,1503012304,0.401933947,0.074231213,0.299553733,0.107848054,0.116433052,0
"10154688034006078_10154688495661078","7003656077_10154688034006078","AmericanAirlines",3262,4,1,1503013116,0.460243409,0.068960302,0.274669016,0.036768716,0.136161082,0.023197474
"10154688034006078_10154688656131078","7003656077_10154688034006078","AmericanAirlines",3262,1,0,1503017850,0.19437739,0.119084885,0.333671029,0.069720585,0.111072944,0.172073166
"10154688034006078_10154688705121078","7003656077_10154688034006078","AmericanAirlines",3262,20,0,1503019550,0.191674551,0.112794005,0.227404932,0.132016191,0.290397284,0.045713037
"10154688034006078_10154688982581078","7003656077_10154688034006078","AmericanAirlines",3262,17,0,1503024086,0.002473899,0.838907891,0.004877391,0.086511754,0.055749007,0.011480058
